岗位名称,薪水,学历要求,工作经验要求,招聘详细页url,是否全职,公司名,公司类型,公司规模等,职位信息
Python开发工程师,8K-10K,大专,1-3年,https://jobs.zhaopin.com/CC390266914J00200614204.htm,全职,超音速(厦门)传媒科技有限公司,民营,20-99人,None
python架构师,8K-10K,本科,1-3年,https://jobs.zhaopin.com/CC188176919J00321249604.htm,全职,厦门强本科技有限公司,民营,20人以下,None
python讲师,6K-8K,本科,1-3年,https://jobs.zhaopin.com/CC644986126J00088186705.htm,全职,厦门布塔信息技术股份有限公司,股份制企业,20-99人,None
python开发工程师,5K-10K,本科,3-5年,https://jobs.zhaopin.com/CZ463153410J00293003006.htm,全职,厦门傲珂尼电子科技有限公司,民营,20-99人,None
python全栈工程师,15K-20K,本科,5-10年,https://jobs.zhaopin.com/CC138128967J00383082301.htm,全职,厦门雅迅网络股份有限公司,国企,500-999人,None
Python开发（实习生）+双休,3K-5K,大专,不限,https://jobs.zhaopin.com/282229089250144.htm,全职,厦门匹夫有道信息技术有限公司,民营,20-99人,None
python全栈工程师,6K-12K,本科,3-5年,https://jobs.zhaopin.com/CC449356331J00205167402.htm,全职,硕橙(厦门)科技有限公司,民营,20-99人,"职位描述岗位职责：1.    负责内部系统设计、程序开发；2.    根据需求制定技术方案，项目计划；3.    独立分析、解决开发过程中遇到的各种问题。任职要求：1.    统招本科及以上学历,3年以上python开发经验；2.    熟练掌握Django/Tornado/Flask等至少一种框架，熟悉 TCP/IP、HTTP/HTTPS 等协议规范；3.    熟悉Linux操作和命令、会Shell ；4.    具有良好的代码习惯和debug能力5.    熟练使用MySQL、Redis、MongoDB、RabbitMQ 等第三方组件；6.    熟练使用 Git/svn 版本管理工具，上传，更新，回滚等相关操作。7.    具有良好的沟通、团队合作精神、优秀的分析问题和解决问题的能力；8.    有深度学习/神经网络开发经验者优先9.    有团队/小组管理经验者优先，有中大型互联网公司工作经历者优先。"
编程老师/Python/JAVA/上市,4K-6K,大专,不限,https://jobs.zhaopin.com/CC659496830J00310365504.htm,全职,厦门童程童美科技有限公司,外商独资,10000人以上,None
python工程师,7K-10K,本科,1-3年,https://jobs.zhaopin.com/CC449356331J00125239902.htm,全职,硕橙(厦门)科技有限公司,民营,20-99人,None
python开发工程师,8K-12K,大专,1-3年,https://jobs.zhaopin.com/CZ227023580J00300973107.htm,全职,深圳新宇智慧科技有限公司,民营,100-499人,None
Python工程师,8K-10K,大专,1-3年,https://jobs.zhaopin.com/CC238749137J00450496401.htm,全职,深圳市凹凸微科科技有限公司,民营,100-499人,None
Python工程师,8K-16K,大专,3-5年,https://jobs.zhaopin.com/572391823250039.htm,全职,成都天用唯勤科技股份有限公司厦门分公司,股份制企业,1000-9999人,None
Python后台开发工程师-脉合项目,10K-20K,大专,1-3年,https://jobs.zhaopin.com/CC254438437J00286872904.htm,全职,骑记(厦门)科技有限公司,合资,20-99人,职位描述岗位职责：1、参与物联网云平台的架构设计实现；2、参与物联网后台管理系统的功能实现；3、参与docker和k8s等devops运维工作；4、根据项目任务计划完成软件高质量编码和测试工作；5、负责项目重点、难点的技术攻关，性能调优，持续重构与优化代码；6、分析并解决开发过程中的问题，提升后台服务器的性能质量；7、按时完成上级主管分配的工作内容.任职要求：1、具备扎实的python语言功底，熟练掌握后端技能，具有3年以上的Python后台开发经验；2、至少精通一个后台开发框架：tornado、gevent、django、flask；3、可熟练开发api接口，熟悉restful接口开发标准，对其有一定的自我见解；4、熟练使用mysql、redis等数据库；5、具备较强的学习能力及团队意识，能承受较大工作压力；6、熟悉开发环境及部署环境，熟悉CI/CD流程，熟悉自动化，会利用工具提升效率，有良好的代码习惯，有docker、heroku、ansible、k8s经验者优先.
python开发工程师,6K-9K,本科,1-3年,https://jobs.zhaopin.com/CC514959788J00391039503.htm,全职,厦门中控智慧信息技术有限公司,民营,100-499人,None
少儿Python/C++/明星上市/高薪,8K-15K,大专,不限,https://jobs.zhaopin.com/CC659496830J00314840904.htm,全职,厦门童程童美科技有限公司,外商独资,10000人以上,None
python爬虫工程师,9K-12K,大专,3-5年,https://jobs.zhaopin.com/CC854949870J00318363104.htm,全职,厦门开门见山网络科技有限公司,民营,不限,None
Python开发工程师（安全方向）,15K-25K,本科,3-5年,https://jobs.zhaopin.com/CC448084536J00124324813.htm,全职,网宿科技,上市公司,1000-9999人,None
